1,Nerrtica,789456123,11,2014845315,2014845315,CARD,350000,2014-07-02 09:05:00
2,korin0925,815351215,12,2014915432,2014915432,CASH,25000,2014-12-03 15:45:00
3,kimhs327,815651235,3,2014796151,2014796151,CARD,250000,2014-11-04 18:32:00
4,kswon9205,931261846,4,2014394851,2014394851,CASH,500000,2014-12-05 23:07:00
5,DavidLandon,445618532,5,2014794464,2014794464,CARD,27000,2014-11-30 04:34:00
6,rino0601,123213048,13,2014231584,2014231584,CASH,220000,2014-09-10 22:21:00
7,flyjsw,123556991,14,2014946131,2014946131,CARD,460000,2014-10-13 06:18:00
8,songchi1234,852316215,15,2014999461,2014999461,CASH,2270000,2014-10-15 00:16:00
9,MeYou,123513213,9,2014613578,2014613578,MOBILE,11000,2014-12-01 23:57:00
10,lyuha,841516231,10,2014456156,2014456156,MOBILE,450000,2014-11-25 14:12:00
